Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	8	47
NULL	bison_bison_bison	american_bison	artiodactyla	12	47
NULL	camelus_dromedarius	arabian_camel	artiodactyla	10	47
NULL	sus_scrofa	wild_boar	artiodactyla	9	47
OR5D16	bison_bison_bison	american_bison	artiodactyla	12	47
OR5D14	camelus_dromedarius	arabian_camel	artiodactyla	10	47
OR5D14	sus_scrofa	wild_boar	artiodactyla	9	47
OR5D14	bison_bison_bison	american_bison	artiodactyla	12	47
OR5D13	camelus_dromedarius	arabian_camel	artiodactyla	10	47
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	8	47
OR5D3P	camelus_dromedarius	arabian_camel	artiodactyla	10	47
OR5D3P	moschus_moschiferus	siberian_musk_deer	artiodactyla	8	47
OR5D14	moschus_moschiferus	siberian_musk_deer	artiodactyla	8	47
OR5D13	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	8	47
OR5I1	camelus_dromedarius	arabian_camel	artiodactyla	10	47
OR5D16	camelus_dromedarius	arabian_camel	artiodactyla	10	47
OR5D18	bison_bison_bison	american_bison	artiodactyla	12	47
OR5D18	moschus_moschiferus	siberian_musk_deer	artiodactyla	8	47
OR5D18	sus_scrofa	wild_boar	artiodactyla	9	47
OR5D18	camelus_dromedarius	arabian_camel	artiodactyla	10	47
NULL	felis_catus	domestic_cat	carnivora	11	86
NULL	canis_lupus_dingo	dingo	carnivora	11	86
NULL	panthera_pardus	leopard	carnivora	10	86
NULL	vulpes_vulpes	red_fox	carnivora	6	86
OR5D13	canis_lupus_familiaris	domestic_dog	carnivora	12	86
NULL	panthera_leo	lion	carnivora	5	86
NULL	canis_lupus_familiaris	domestic_dog	carnivora	12	86
OR5D3P	ursus_maritimus	polar_bear	carnivora	10	86
OR5I1	felis_catus	domestic_cat	carnivora	11	86
OR5D17	canis_lupus_familiaris	domestic_dog	carnivora	12	86
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	86
OR5D15	canis_lupus_familiaris	domestic_dog	carnivora	12	86
