Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
MMP1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	5
MMP1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
MMP1	camelus_dromedarius	arabian_camel	artiodactyla	1	5
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	5
MMP1	bison_bison_bison	american_bison	artiodactyla	1	5
MMP1	zalophus_californianus	cali_sea_lion	carnivora	1	15
NULL	felis_catus	domestic_cat	carnivora	2	15
MMP1	panthera_pardus	leopard	carnivora	2	15
MMP1	canis_lupus_familiaris	domestic_dog	carnivora	1	15
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	15
NULL	panthera_pardus	leopard	carnivora	2	15
NULL	panthera_leo	lion	carnivora	1	15
MMP1	vulpes_vulpes	red_fox	carnivora	1	15
NULL	ursus_maritimus	polar_bear	carnivora	2	15
MMP1	canis_lupus_dingo	dingo	carnivora	1	15
MMP1	ursus_maritimus	polar_bear	carnivora	2	15
NULL	lynx_canadensis	canadian_lynx	carnivora	2	15
MMP1	felis_catus	domestic_cat	carnivora	2	15
MMP1	ailuropoda_melanoleuca	giant_panda	carnivora	2	15
MMP1	lynx_canadensis	canadian_lynx	carnivora	2	15
MMP1	delphinapterus_leucas	beluga_whale	cetacea	1	1
MMP1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
MMP1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
MMP1	sorex_araneus	european_shrew	eulipotyphyla	1	2
MMP1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
MMP1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
MMP1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
MMP1	ochotona_princeps	american_pika	lagomorpha	1	2
MMP1	equus_asinus_asinus	donkey	perissodactyla	1	1
MMP1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MMP1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
MMP1	papio_anubis	olive_baboon	primates	1	10
MMP1	mandrillus_leucophaeus	drill	primates	1	10
MMP1	macaca_fascicularis	crab_eating_macaque	primates	1	10
MMP1	aotus_nancymaae	mas_night_monkey	primates	1	10
MMP1	nomascus_leucogenys	gibbon	primates	1	10
MMP1	cercocebus_atys	sooty_mangabey	primates	1	10
MMP1	carlito_syrichta	philippine_tarsier	primates	1	10
MMP1	pan_troglodytes	chimpanzee	primates	1	10
MMP1	gorilla_gorilla	gorilla	primates	1	10
MMP1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Mmp1b	mus_spicilegus	steppe_mouse	rodentia	2	11
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
Mmp1a	mus_spicilegus	steppe_mouse	rodentia	2	11
NULL	castor_canadensis	american_beaver	rodentia	1	11
Mmp1b	mus_musculus	house_mouse	rodentia	2	11
Mmp1	rattus_norvegicus	norway_rat	rodentia	3	11
AABR07069011.1	rattus_norvegicus	norway_rat	rodentia	3	11
MMP1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
Mmp1b	rattus_norvegicus	norway_rat	rodentia	3	11
Mmp1a	mus_musculus	house_mouse	rodentia	2	11
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
MMP1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
