SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	equus_asinus_asinus	ENSEASP00005025503	PSZQ01005720.1	12609	13742	1	ENSEASG00005017374	ACTRT1	donkey
SEQ	ursus_maritimus	ENSUMAP00000034551	KK498998.1	472017	473150	-1	ENSUMAG00000024872	ACTRT1	polar_bear
SEQ	zalophus_californianus	ENSZCAP00015031348	X	23122202	23123631	1	ENSZCAG00015019751	ACTRT1	cali_sea_lion
SEQ	panthera_pardus	ENSPPRP00000011333	KV860380.1	6188997	6189943	1	ENSPPRG00000005213	ACTRT1	leopard
SEQ	macaca_fascicularis	ENSMFAP00000011281	X	124854541	124855771	-1	ENSMFAG00000014519	ACTRT1	crab_eating_macaque
SEQ	nannospalax_galili	ENSNGAP00000016939	KL201001.1	807136	808511	-1	ENSNGAG00000017516	Actrt1	upper_galilee_mountains_blind_mole_rat
SEQ	ailuropoda_melanoleuca	ENSAMEP00000021345	GL193320.1	686	1819	-1	ENSAMEG00000020291	ACTRT1	giant_panda
SEQ	vulpes_vulpes	ENSVVUP00000012000	NBDQ01000147.1	2241134	2242267	-1	ENSVVUG00000008865	ACTRT1	red_fox
SEQ	camelus_dromedarius	ENSCDRP00005010608	X	99198401	99200520	-1	ENSCDRG00005007523	NULL	arabian_camel
SEQ	oryctolagus_cuniculus	ENSOCUP00000027043	X	102499929	102501068	-1	ENSOCUG00000029410	NULL	rabbit
SEQ	tupaia_belangeri	ENSTBEP00000010489	scaffold_110300	18568	19698	1	ENSTBEG00000012132	NULL	nothern_tree_shrew
SEQ	chinchilla_lanigera	ENSCLAP00000025316	JH722130.1	38149	39636	-1	ENSCLAG00000017390	ACTRT1	long_tailed_chinchilla
SEQ	pteropus_vampyrus	ENSPVAP00000012974	scaffold_9127	26070	27203	-1	ENSPVAG00000013758	ACTRT1	large_flying_fox
SEQ	procavia_capensis	ENSPCAP00000010107	scaffold_91874	4192	5325	-1	ENSPCAG00000010908	ACTRT1	cape_rock_hyrax
SEQ	mus_musculus	ENSMUSP00000062570	X	46329007	46330345	1	ENSMUSG00000046615	Actrt1	house_mouse
SEQ	castor_canadensis	ENSCCNP00000007209	MTKA01012045.1	3033	5944	1	ENSCCNG00000007715	Actrt1	american_beaver
SEQ	oryctolagus_cuniculus	ENSOCUP00000002245	X	102607254	102608378	-1	ENSOCUG00000002602	NULL	rabbit
SEQ	sus_scrofa	ENSSSCP00000013447	X	104937135	104938749	-1	ENSSSCG00000012648	ACTRT1	wild_boar
SEQ	canis_lupus_dingo	ENSCAFP00020002089	QKWQ01002069.1	6829048	6830181	1	ENSCAFG00020001806	ACTRT1	dingo
SEQ	loxodonta_africana	ENSLAFP00000010466	scaffold_32	1201355	1202488	1	ENSLAFG00000028410	NULL	african_savanna_elephant
SEQ	rattus_norvegicus	ENSRNOP00000053759	X	133227660	133229047	1	ENSRNOG00000003456	Actrt1	norway_rat
SEQ	equus_caballus	ENSECAP00000002879	X	105819073	105820763	1	ENSECAG00000004310	ACTRT1	domestic_horse
SEQ	mus_spicilegus	ENSMSIP00000026923	QGOO01034858.1	59723	61143	-1	ENSMSIG00000022705	Actrt1	steppe_mouse
SEQ	loxodonta_africana	ENSLAFP00000016901	scaffold_32	2288964	2290097	1	ENSLAFG00000029392	NULL	african_savanna_elephant
SEQ	loxodonta_africana	ENSLAFP00000027995	scaffold_32	14313285	14314418	-1	ENSLAFG00000027141	NULL	african_savanna_elephant
SEQ	dasypus_novemcinctus	ENSDNOP00000008666	JH573262.1	207228	208361	-1	ENSDNOG00000011181	ACTRT1	nine_banded_armadillo
SEQ	lynx_canadensis	ENSLCNP00005025792	X	102500816	102502363	-1	ENSLCNG00005016780	ACTRT1	canadian_lynx
SEQ	gorilla_gorilla	ENSGGOP00000014968	X	127919948	127921156	-1	ENSGGOG00000015345	ACTRT1	gorilla
SEQ	tupaia_belangeri	ENSTBEP00000011668	scaffold_70259	884	2014	1	ENSTBEG00000013494	NULL	nothern_tree_shrew
SEQ	echinops_telfairi	ENSETEP00000006329	scaffold_282625	38428	39560	-1	ENSETEG00000007794	NULL	lesser_hedgehog_tenrec
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000001282	X	26371638	26372768	-1	ENSPEMG00000000971	Actrt1	prairie_deer_mouse
SEQ	cercocebus_atys	ENSCATP00000005711	KQ012918.1	7009866	7010993	1	ENSCATG00000018422	ACTRT1	sooty_mangabey
SEQ	papio_anubis	ENSPANP00000000520	X	117010798	117011925	-1	ENSPANG00000011521	ACTRT1	olive_baboon
SEQ	bison_bison_bison	ENSBBBP00000008839	KN265028.1	343839	344972	1	ENSBBBG00000016859	ACTRT1	american_bison
SEQ	pan_troglodytes	ENSPTRP00000038315	X	127750793	127751923	-1	ENSPTRG00000022254	ACTRT1	chimpanzee
SEQ	mandrillus_leucophaeus	ENSMLEP00000005923	KN979335.1	498427	499554	1	ENSMLEG00000025476	ACTRT1	drill
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000037585	X	24105580	24106713	-1	ENSCHYG00000025034	ACTRT1	central_asian_red_deer
SEQ	moschus_moschiferus	ENSMMSP00000009103	PVHU020007695.1	1758886	1760019	-1	ENSMMSG00000007059	ACTRT1	siberian_musk_deer
SEQ	camelus_dromedarius	ENSCDRP00005010566	X	99177162	99178295	-1	ENSCDRG00005007502	NULL	arabian_camel
SEQ	canis_lupus_familiaris	ENSCAFP00000027525	X	99375977	99377110	-1	ENSCAFG00000018658	ACTRT1	domestic_dog
SEQ	callithrix_jacchus	ENSCJAP00000041095	NTIC01013981.1	1	1125	1	ENSCJAG00000022482	ACTRT1	white_tufted_ear_marmoset
