Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	7
NULL	bison_bison_bison	american_bison	artiodactyla	3	7
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	7
NULL	sus_scrofa	wild_boar	artiodactyla	1	7
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	7
NULL	panthera_leo	lion	carnivora	4	10
NULL	panthera_pardus	leopard	carnivora	4	10
NULL	lynx_canadensis	canadian_lynx	carnivora	1	10
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
GIMAP7	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
NULL	octodon_degus	degu	rodentia	1	7
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	7
Gimap9	mus_spicilegus	steppe_mouse	rodentia	1	7
Gimap9	mus_musculus	house_mouse	rodentia	1	7
Gimap9	rattus_norvegicus	norway_rat	rodentia	1	7
Gimap9	castor_canadensis	american_beaver	rodentia	1	7
Gimap9	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	7
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
