Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	11
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	11
NULL	bison_bison_bison	american_bison	artiodactyla	2	11
PABPC4	camelus_dromedarius	arabian_camel	artiodactyla	1	11
PABPC4	sus_scrofa	wild_boar	artiodactyla	1	11
PABPC4	lynx_canadensis	canadian_lynx	carnivora	1	12
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	12
PABPC4	vulpes_vulpes	red_fox	carnivora	1	12
PABPC4	canis_lupus_dingo	dingo	carnivora	1	12
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	12
PABPC4	ursus_maritimus	polar_bear	carnivora	1	12
PABPC4	felis_catus	domestic_cat	carnivora	1	12
PABPC4	panthera_leo	lion	carnivora	1	12
PABPC4	panthera_pardus	leopard	carnivora	1	12
PABPC4	canis_lupus_familiaris	domestic_dog	carnivora	1	12
NULL	delphinapterus_leucas	beluga_whale	cetacea	4	4
PABPC4	delphinapterus_leucas	beluga_whale	cetacea	4	4
PABPC4	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
PABPC4	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
PABPC4	sorex_araneus	european_shrew	eulipotyphyla	1	2
PABPC4	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
PABPC4	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
PABPC4	ochotona_princeps	american_pika	lagomorpha	1	2
PABPC4	equus_caballus	domestic_horse	perissodactyla	1	2
PABPC4	equus_asinus_asinus	donkey	perissodactyla	1	2
PABPC4	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
PABPC4	gorilla_gorilla	gorilla	primates	2	12
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	12
PABPC4	nomascus_leucogenys	gibbon	primates	1	12
PABPC4	macaca_fascicularis	crab_eating_macaque	primates	1	12
NULL	gorilla_gorilla	gorilla	primates	2	12
PABPC4	mandrillus_leucophaeus	drill	primates	1	12
PABPC4	cercocebus_atys	sooty_mangabey	primates	1	12
PABPC4	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	12
PABPC4	carlito_syrichta	philippine_tarsier	primates	1	12
PABPC4	pan_troglodytes	chimpanzee	primates	1	12
PABPC4	papio_anubis	olive_baboon	primates	1	12
PABPC4	aotus_nancymaae	mas_night_monkey	primates	1	12
PABPC4	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	mus_spicilegus	steppe_mouse	rodentia	2	15
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	15
Pabpc4	mus_spicilegus	steppe_mouse	rodentia	2	15
NULL	octodon_degus	degu	rodentia	4	15
AABR07035074.1	rattus_norvegicus	norway_rat	rodentia	2	15
Pabpc4	castor_canadensis	american_beaver	rodentia	1	15
Pabpc4	mus_musculus	house_mouse	rodentia	1	15
Pabpc4	rattus_norvegicus	norway_rat	rodentia	2	15
PABPC4	cavia_aperea	brazilian_guinea_pig	rodentia	1	15
Pabpc4	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	15
PABPC4	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	15
PABPC4	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
