Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
C18orf21	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
C18orf21	bison_bison_bison	american_bison	artiodactyla	1	5
C18orf21	sus_scrofa	wild_boar	artiodactyla	1	5
C18orf21	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
C18orf21	camelus_dromedarius	arabian_camel	artiodactyla	1	5
C7H18orf21	canis_lupus_familiaris	domestic_dog	carnivora	2	12
C18orf21	zalophus_californianus	cali_sea_lion	carnivora	1	12
NULL	canis_lupus_familiaris	domestic_dog	carnivora	2	12
C18orf21	ursus_maritimus	polar_bear	carnivora	1	12
NULL	panthera_pardus	leopard	carnivora	2	12
C18orf21	felis_catus	domestic_cat	carnivora	1	12
C18orf21	vulpes_vulpes	red_fox	carnivora	1	12
C18orf21	panthera_leo	lion	carnivora	1	12
C18orf21	lynx_canadensis	canadian_lynx	carnivora	1	12
C18orf21	ailuropoda_melanoleuca	giant_panda	carnivora	1	12
C18orf21	canis_lupus_dingo	dingo	carnivora	1	12
CUNH18orf21	delphinapterus_leucas	beluga_whale	cetacea	1	1
C18orf21	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
C18orf21	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
C18orf21	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
C18orf21	sorex_araneus	european_shrew	eulipotyphyla	1	2
C18orf21	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
C18orf21	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
C18orf21	ochotona_princeps	american_pika	lagomorpha	1	3
C8H18orf21	equus_caballus	domestic_horse	perissodactyla	1	2
C18orf21	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
C18H18orf21	pan_troglodytes	chimpanzee	primates	1	9
C18orf21	aotus_nancymaae	mas_night_monkey	primates	1	9
C18orf21	mandrillus_leucophaeus	drill	primates	1	9
C18orf21	macaca_fascicularis	crab_eating_macaque	primates	1	9
C18orf21	papio_anubis	olive_baboon	primates	1	9
C18orf21	gorilla_gorilla	gorilla	primates	1	9
C18orf21	carlito_syrichta	philippine_tarsier	primates	1	9
C18orf21	nomascus_leucogenys	gibbon	primates	1	9
C18orf21	cercocebus_atys	sooty_mangabey	primates	1	9
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
C18orf21	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	8
2700062C07Rik	castor_canadensis	american_beaver	rodentia	1	8
2700062C07Rik	mus_spicilegus	steppe_mouse	rodentia	1	8
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	8
2700062C07Rik	mus_musculus	house_mouse	rodentia	1	8
MGC116121	rattus_norvegicus	norway_rat	rodentia	1	8
2700062C07Rik	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	8
2700062C07Rik	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	8
C18orf21	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
