Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
LGALSL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
LGALSL	sus_scrofa	wild_boar	artiodactyla	1	5
LGALSL	bison_bison_bison	american_bison	artiodactyla	1	5
LGALSL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
LGALSL	camelus_dromedarius	arabian_camel	artiodactyla	1	5
LGALSL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
LGALSL	canis_lupus_familiaris	domestic_dog	carnivora	1	11
LGALSL	ursus_maritimus	polar_bear	carnivora	1	11
NULL	panthera_pardus	leopard	carnivora	2	11
LGALSL	zalophus_californianus	cali_sea_lion	carnivora	1	11
LGALSL	canis_lupus_dingo	dingo	carnivora	1	11
LGALSL	panthera_leo	lion	carnivora	1	11
LGALSL	vulpes_vulpes	red_fox	carnivora	1	11
NULL	felis_catus	domestic_cat	carnivora	1	11
LGALSL	lynx_canadensis	canadian_lynx	carnivora	1	11
LGALSL	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
LGALSL	delphinapterus_leucas	beluga_whale	cetacea	1	1
LGALSL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
LGALSL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
LGALSL	sorex_araneus	european_shrew	eulipotyphyla	1	2
LGALSL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
LGALSL	ochotona_princeps	american_pika	lagomorpha	1	2
LGALSL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
LGALSL	equus_asinus_asinus	donkey	perissodactyla	1	2
LGALSL	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
LGALSL	carlito_syrichta	philippine_tarsier	primates	1	10
LGALSL	nomascus_leucogenys	gibbon	primates	1	10
LGALSL	macaca_fascicularis	crab_eating_macaque	primates	1	10
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
LGALSL	cercocebus_atys	sooty_mangabey	primates	1	10
LGALSL	gorilla_gorilla	gorilla	primates	1	10
LGALSL	papio_anubis	olive_baboon	primates	1	10
LGALSL	pan_troglodytes	chimpanzee	primates	1	10
LGALSL	aotus_nancymaae	mas_night_monkey	primates	1	10
LGALSL	mandrillus_leucophaeus	drill	primates	1	10
LGALSL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	castor_canadensis	american_beaver	rodentia	1	12
LGALSL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	12
Lgalsl	mus_musculus	house_mouse	rodentia	2	12
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	12
Lgalsl	mus_spicilegus	steppe_mouse	rodentia	3	12
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	12
Gm5065	mus_musculus	house_mouse	rodentia	2	12
Lgalsl	rattus_norvegicus	norway_rat	rodentia	1	12
NULL	mus_spicilegus	steppe_mouse	rodentia	3	12
LGALSL	octodon_degus	degu	rodentia	1	12
Gm5065	mus_spicilegus	steppe_mouse	rodentia	3	12
LGALSL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
