Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
HS3ST6	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
HS3ST6	camelus_dromedarius	arabian_camel	artiodactyla	1	4
HS3ST6	sus_scrofa	wild_boar	artiodactyla	1	4
HS3ST6	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
HS3ST6	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
NULL	canis_lupus_familiaris	domestic_dog	carnivora	1	8
HS3ST6	panthera_leo	lion	carnivora	1	8
HS3ST6	felis_catus	domestic_cat	carnivora	1	8
HS3ST6	canis_lupus_dingo	dingo	carnivora	1	8
HS3ST6	vulpes_vulpes	red_fox	carnivora	1	8
HS3ST6	panthera_pardus	leopard	carnivora	1	8
HS3ST6	zalophus_californianus	cali_sea_lion	carnivora	1	8
HS3ST6	lynx_canadensis	canadian_lynx	carnivora	1	8
HS3ST6	delphinapterus_leucas	beluga_whale	cetacea	1	1
HS3ST6	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
HS3ST6	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
HS3ST6	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
HS3ST6	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
HS3ST6	equus_asinus_asinus	donkey	perissodactyla	1	2
HS3ST6	equus_caballus	domestic_horse	perissodactyla	1	2
HS3ST6	aotus_nancymaae	mas_night_monkey	primates	1	9
HS3ST6	gorilla_gorilla	gorilla	primates	1	9
HS3ST6	papio_anubis	olive_baboon	primates	1	9
HS3ST6	mandrillus_leucophaeus	drill	primates	1	9
HS3ST6	macaca_fascicularis	crab_eating_macaque	primates	1	9
HS3ST6	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	9
HS3ST6	carlito_syrichta	philippine_tarsier	primates	1	9
HS3ST6	cercocebus_atys	sooty_mangabey	primates	1	9
HS3ST6	pan_troglodytes	chimpanzee	primates	1	9
HS3ST6	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
HS3ST6	octodon_degus	degu	rodentia	1	9
HS3ST6	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Hs3st6	mus_musculus	house_mouse	rodentia	1	9
Hs3st6	mus_spicilegus	steppe_mouse	rodentia	1	9
Hs3st6	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
Hs3st6	castor_canadensis	american_beaver	rodentia	1	9
Hs3st6	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
HS3ST6	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Hs3st6	rattus_norvegicus	norway_rat	rodentia	1	9
