Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	bison_bison_bison	american_bison	artiodactyla	1	4
DNAAF6	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
DNAAF6	sus_scrofa	wild_boar	artiodactyla	1	4
DNAAF6	camelus_dromedarius	arabian_camel	artiodactyla	1	4
DNAAF6	vulpes_vulpes	red_fox	carnivora	1	9
DNAAF6	felis_catus	domestic_cat	carnivora	1	9
DNAAF6	zalophus_californianus	cali_sea_lion	carnivora	1	9
DNAAF6	panthera_leo	lion	carnivora	1	9
DNAAF6	panthera_pardus	leopard	carnivora	1	9
DNAAF6	canis_lupus_dingo	dingo	carnivora	1	9
DNAAF6	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
DNAAF6	canis_lupus_familiaris	domestic_dog	carnivora	1	9
DNAAF6	lynx_canadensis	canadian_lynx	carnivora	1	9
PIH1D3	delphinapterus_leucas	beluga_whale	cetacea	1	1
DNAAF6	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
DNAAF6	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
DNAAF6	equus_caballus	domestic_horse	perissodactyla	1	2
DNAAF6	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
DNAAF6	aotus_nancymaae	mas_night_monkey	primates	1	10
DNAAF6	carlito_syrichta	philippine_tarsier	primates	1	10
DNAAF6	macaca_fascicularis	crab_eating_macaque	primates	1	10
DNAAF6	cercocebus_atys	sooty_mangabey	primates	1	10
DNAAF6	papio_anubis	olive_baboon	primates	1	10
DNAAF6	pan_troglodytes	chimpanzee	primates	1	10
DNAAF6	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
DNAAF6	gorilla_gorilla	gorilla	primates	1	10
DNAAF6	nomascus_leucogenys	gibbon	primates	1	10
DNAAF6	mandrillus_leucophaeus	drill	primates	1	10
DNAAF6	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
DNAAF6	octodon_degus	degu	rodentia	1	9
Pih1h3b	mus_spicilegus	steppe_mouse	rodentia	1	9
Pih1h3b	mus_musculus	house_mouse	rodentia	2	9
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Pih1d3	rattus_norvegicus	norway_rat	rodentia	1	9
NULL	castor_canadensis	american_beaver	rodentia	1	9
DNAAF6	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Pih1d3	mus_musculus	house_mouse	rodentia	2	9
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
