Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	7	7
OR51A7	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	7	7
OR51D1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	7	7
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	15	79
OR51D1	camelus_dromedarius	arabian_camel	artiodactyla	10	79
NULL	sus_scrofa	wild_boar	artiodactyla	20	79
NULL	bison_bison_bison	american_bison	artiodactyla	19	79
OR51E2	bison_bison_bison	american_bison	artiodactyla	19	79
OR51V1	bison_bison_bison	american_bison	artiodactyla	19	79
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	79
NULL	camelus_dromedarius	arabian_camel	artiodactyla	10	79
OR51E2	camelus_dromedarius	arabian_camel	artiodactyla	10	79
OR51E1	sus_scrofa	wild_boar	artiodactyla	20	79
OR51E2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	79
OR51E2	moschus_moschiferus	siberian_musk_deer	artiodactyla	15	79
OR51E2	sus_scrofa	wild_boar	artiodactyla	20	79
OR51E1	bison_bison_bison	american_bison	artiodactyla	19	79
OR51E1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	79
OR51E1	moschus_moschiferus	siberian_musk_deer	artiodactyla	15	79
OR51A7	sus_scrofa	wild_boar	artiodactyla	20	79
OR51A7	camelus_dromedarius	arabian_camel	artiodactyla	10	79
OR51A7	moschus_moschiferus	siberian_musk_deer	artiodactyla	15	79
OR51E1	camelus_dromedarius	arabian_camel	artiodactyla	10	79
OR51V1	moschus_moschiferus	siberian_musk_deer	artiodactyla	15	79
OR51A7	bison_bison_bison	american_bison	artiodactyla	19	79
OR51D1	bison_bison_bison	american_bison	artiodactyla	19	79
OR51V1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	79
OR51D1	moschus_moschiferus	siberian_musk_deer	artiodactyla	15	79
OR51V1	camelus_dromedarius	arabian_camel	artiodactyla	10	79
OR51D1	sus_scrofa	wild_boar	artiodactyla	20	79
OR51D1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	79
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	15	137
NULL	vulpes_vulpes	red_fox	carnivora	11	137
NULL	felis_catus	domestic_cat	carnivora	12	137
OR51AB4	canis_lupus_familiaris	domestic_dog	carnivora	15	137
NULL	canis_lupus_familiaris	domestic_dog	carnivora	15	137
NULL	canis_lupus_dingo	dingo	carnivora	17	137
OR51D1	panthera_leo	lion	carnivora	15	137
NULL	ursus_maritimus	polar_bear	carnivora	16	137
OR51V1	ursus_maritimus	polar_bear	carnivora	16	137
NULL	panthera_pardus	leopard	carnivora	15	137
NULL	panthera_leo	lion	carnivora	15	137
OR51A7	panthera_leo	lion	carnivora	15	137
OR51E1	canis_lupus_dingo	dingo	carnivora	17	137
NULL	zalophus_californianus	cali_sea_lion	carnivora	8	137
OR51E2	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51E2	ursus_maritimus	polar_bear	carnivora	16	137
OR51E2	felis_catus	domestic_cat	carnivora	12	137
OR51A7	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51D1	ailuropoda_melanoleuca	giant_panda	carnivora	15	137
OR51V1	canis_lupus_dingo	dingo	carnivora	17	137
OR51D1	panthera_pardus	leopard	carnivora	15	137
NULL	lynx_canadensis	canadian_lynx	carnivora	13	137
OR51E2	panthera_leo	lion	carnivora	15	137
OR51E1	vulpes_vulpes	red_fox	carnivora	11	137
OR51V21	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51E1	ailuropoda_melanoleuca	giant_panda	carnivora	15	137
OR51D1	ursus_maritimus	polar_bear	carnivora	16	137
OR51H1	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51E1	ursus_maritimus	polar_bear	carnivora	16	137
OR51D1	canis_lupus_dingo	dingo	carnivora	17	137
OR51E2	canis_lupus_dingo	dingo	carnivora	17	137
OR51V1	panthera_pardus	leopard	carnivora	15	137
OR51A7	ursus_maritimus	polar_bear	carnivora	16	137
OR51A4	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51V1	felis_catus	domestic_cat	carnivora	12	137
OR51E2	zalophus_californianus	cali_sea_lion	carnivora	8	137
OR51V1	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51V1	panthera_leo	lion	carnivora	15	137
OR51E2	ailuropoda_melanoleuca	giant_panda	carnivora	15	137
OR51A6	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51R1	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51V20	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51V1	lynx_canadensis	canadian_lynx	carnivora	13	137
OR51E2	vulpes_vulpes	red_fox	carnivora	11	137
OR51H5	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51H2	canis_lupus_familiaris	domestic_dog	carnivora	15	137
OR51E2	lynx_canadensis	canadian_lynx	carnivora	13	137
OR51E1	panthera_leo	lion	carnivora	15	137
OR51E1	lynx_canadensis	canadian_lynx	carnivora	13	137
OR51E2	panthera_pardus	leopard	carnivora	15	137
OR51V1	zalophus_californianus	cali_sea_lion	carnivora	8	137
OR51A7	ailuropoda_melanoleuca	giant_panda	carnivora	15	137
OR51A7	canis_lupus_dingo	dingo	carnivora	17	137
OR51D1	lynx_canadensis	canadian_lynx	carnivora	13	137
OR51E1	delphinapterus_leucas	beluga_whale	cetacea	2	2
OR51E2	delphinapterus_leucas	beluga_whale	cetacea	2	2
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
OR51E1	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
OR51A7	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
OR51E2	pteropus_vampyrus	large_flying_fox	chiroptera	5	5
OR51D1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	21	21
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	21	21
OR51E1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	21	21
OR51A7	dasypus_novemcinctus	nine_banded_armadillo	cingulata	21	21
OR51V1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	21	21
NULL	sorex_araneus	european_shrew	eulipotyphyla	5	10
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	5	10
OR51A7	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	5	10
OR51E2	sorex_araneus	european_shrew	eulipotyphyla	5	10
OR51E1	sorex_araneus	european_shrew	eulipotyphyla	5	10
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
OR51E2	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
OR51E1	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
NULL	ochotona_princeps	american_pika	lagomorpha	6	17
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OR51A7	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OR51E1	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OR51E2	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OLFR555	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OR51D1	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OLR109	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OLFR572	oryctolagus_cuniculus	rabbit	lagomorpha	11	17
OR51E2	ochotona_princeps	american_pika	lagomorpha	6	17
OR51E1	ochotona_princeps	american_pika	lagomorpha	6	17
NULL	equus_caballus	domestic_horse	perissodactyla	16	26
NULL	equus_asinus_asinus	donkey	perissodactyla	10	26
OR51V1	equus_caballus	domestic_horse	perissodactyla	16	26
OR51E1	equus_caballus	domestic_horse	perissodactyla	16	26
OR51E2	equus_caballus	domestic_horse	perissodactyla	16	26
OR51E2	equus_asinus_asinus	donkey	perissodactyla	10	26
OR51A7	equus_caballus	domestic_horse	perissodactyla	16	26
OR51D1	equus_asinus_asinus	donkey	perissodactyla	10	26
OR51E1	equus_asinus_asinus	donkey	perissodactyla	10	26
OR51A7	equus_asinus_asinus	donkey	perissodactyla	10	26
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	7	7
OR51D1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	7	7
OR51E2	nomascus_leucogenys	gibbon	primates	4	47
OR51E2	aotus_nancymaae	mas_night_monkey	primates	2	47
OR51E2	papio_anubis	olive_baboon	primates	6	47
OR51V1	callithrix_jacchus	white_tufted_ear_marmoset	primates	11	47
OR51A7	nomascus_leucogenys	gibbon	primates	4	47
OR51A7	pan_troglodytes	chimpanzee	primates	5	47
OR51V1	nomascus_leucogenys	gibbon	primates	4	47
OR51V1	macaca_fascicularis	crab_eating_macaque	primates	6	47
OR51A7	callithrix_jacchus	white_tufted_ear_marmoset	primates	11	47
NULL	carlito_syrichta	philippine_tarsier	primates	2	47
OR51V1	gorilla_gorilla	gorilla	primates	5	47
OR51E2	callithrix_jacchus	white_tufted_ear_marmoset	primates	11	47
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	11	47
OLFR575	papio_anubis	olive_baboon	primates	6	47
OR51E2	mandrillus_leucophaeus	drill	primates	4	47
NULL	pan_troglodytes	chimpanzee	primates	5	47
OR51V1	pan_troglodytes	chimpanzee	primates	5	47
NULL	aotus_nancymaae	mas_night_monkey	primates	2	47
OR51V1	papio_anubis	olive_baboon	primates	6	47
OR51V1	mandrillus_leucophaeus	drill	primates	4	47
NULL	nomascus_leucogenys	gibbon	primates	4	47
NULL	macaca_fascicularis	crab_eating_macaque	primates	6	47
OR51E2	macaca_fascicularis	crab_eating_macaque	primates	6	47
OR51E2	gorilla_gorilla	gorilla	primates	5	47
OR51E2	cercocebus_atys	sooty_mangabey	primates	2	47
NULL	papio_anubis	olive_baboon	primates	6	47
OR51E1	callithrix_jacchus	white_tufted_ear_marmoset	primates	11	47
NULL	gorilla_gorilla	gorilla	primates	5	47
OR51A7	cercocebus_atys	sooty_mangabey	primates	2	47
OR51D1	gorilla_gorilla	gorilla	primates	5	47
OR51D1	pan_troglodytes	chimpanzee	primates	5	47
OR51A7	papio_anubis	olive_baboon	primates	6	47
NULL	mandrillus_leucophaeus	drill	primates	4	47
OR51A7	macaca_fascicularis	crab_eating_macaque	primates	6	47
OR51A7	mandrillus_leucophaeus	drill	primates	4	47
OR51E2	pan_troglodytes	chimpanzee	primates	5	47
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	23	23
OR51E1	loxodonta_africana	african_savanna_elephant	proboscidea	23	23
OR51E2	loxodonta_africana	african_savanna_elephant	proboscidea	23	23
OR51A7	loxodonta_africana	african_savanna_elephant	proboscidea	23	23
OR51V1	loxodonta_africana	african_savanna_elephant	proboscidea	23	23
OR51D1	loxodonta_africana	african_savanna_elephant	proboscidea	23	23
Olfr615	mus_spicilegus	steppe_mouse	rodentia	14	101
Olfr575	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	16	101
Olfr572	castor_canadensis	american_beaver	rodentia	11	101
Olfr572	mus_spicilegus	steppe_mouse	rodentia	14	101
Olfr572	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	16	101
Olfr570	mus_spicilegus	steppe_mouse	rodentia	14	101
Olfr570	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	16	101
Olfr573-ps1	mus_musculus	house_mouse	rodentia	16	101
Olfr558	mus_spicilegus	steppe_mouse	rodentia	14	101
Olfr557	mus_spicilegus	steppe_mouse	rodentia	14	101
Olfr620	mus_musculus	house_mouse	rodentia	16	101
Olr109	rattus_norvegicus	norway_rat	rodentia	15	101
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	4	101
Olfr615	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	16	101
Olfr555	mus_spicilegus	steppe_mouse	rodentia	14	101
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	13	101
Olfr555	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	16	101
Olfr78	mus_musculus	house_mouse	rodentia	16	101
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	6	101
Olfr558	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	16	101
Olr72	rattus_norvegicus	norway_rat	rodentia	15	101
Olfr620	mus_spicilegus	steppe_mouse	rodentia	14	101
Olfr586	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	16	101
Olfr550	mus_spicilegus	steppe_mouse	rodentia	14	101
Olr114	rattus_norvegicus	norway_rat	rodentia	15	101
