Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	6	6
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	12	43
NULL	bison_bison_bison	american_bison	artiodactyla	11	43
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	8	43
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	43
NULL	sus_scrofa	wild_boar	artiodactyla	10	43
NULL	felis_catus	domestic_cat	carnivora	9	82
NULL	canis_lupus_dingo	dingo	carnivora	9	82
NULL	panthera_pardus	leopard	carnivora	13	82
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	7	82
OR52A18	canis_lupus_familiaris	domestic_dog	carnivora	10	82
NULL	panthera_leo	lion	carnivora	3	82
NULL	lynx_canadensis	canadian_lynx	carnivora	10	82
NULL	vulpes_vulpes	red_fox	carnivora	7	82
NULL	ursus_maritimus	polar_bear	carnivora	12	82
OR52AB4	canis_lupus_familiaris	domestic_dog	carnivora	10	82
OR52A5C	canis_lupus_familiaris	domestic_dog	carnivora	10	82
OR52AB2	canis_lupus_familiaris	domestic_dog	carnivora	10	82
OR52AB3	canis_lupus_familiaris	domestic_dog	carnivora	10	82
OR52A24	canis_lupus_familiaris	domestic_dog	carnivora	10	82
OR52A5	lynx_canadensis	canadian_lynx	carnivora	10	82
OR52A1	canis_lupus_familiaris	domestic_dog	carnivora	10	82
OR52A5	zalophus_californianus	cali_sea_lion	carnivora	2	82
OR52A5	canis_lupus_familiaris	domestic_dog	carnivora	10	82
NULL	canis_lupus_familiaris	domestic_dog	carnivora	10	82
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	82
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	13	13
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	6	7
OR52A1	sorex_araneus	european_shrew	eulipotyphyla	1	7
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	8	8
OR52A5	procavia_capensis	cape_rock_hyrax	hyracoidea	8	8
OR52A5	ochotona_princeps	american_pika	lagomorpha	3	6
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
OLFR68	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
NULL	ochotona_princeps	american_pika	lagomorpha	3	6
OR52A1	ochotona_princeps	american_pika	lagomorpha	3	6
NULL	equus_asinus_asinus	donkey	perissodactyla	11	22
NULL	equus_caballus	domestic_horse	perissodactyla	11	22
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
OR52A5	pan_troglodytes	chimpanzee	primates	3	33
OR52A1	cercocebus_atys	sooty_mangabey	primates	4	33
OR52A5	callithrix_jacchus	white_tufted_ear_marmoset	primates	4	33
NULL	macaca_fascicularis	crab_eating_macaque	primates	5	33
OR52A1	mandrillus_leucophaeus	drill	primates	4	33
OR52A1	macaca_fascicularis	crab_eating_macaque	primates	5	33
OR52A5	cercocebus_atys	sooty_mangabey	primates	4	33
NULL	cercocebus_atys	sooty_mangabey	primates	4	33
OR52A1	pan_troglodytes	chimpanzee	primates	3	33
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	4	33
OR52A1	nomascus_leucogenys	gibbon	primates	1	33
OR52A5	macaca_fascicularis	crab_eating_macaque	primates	5	33
NULL	carlito_syrichta	philippine_tarsier	primates	2	33
OR52A1	gorilla_gorilla	gorilla	primates	3	33
OR52A1	aotus_nancymaae	mas_night_monkey	primates	2	33
OR52A5	mandrillus_leucophaeus	drill	primates	4	33
OR52A5	gorilla_gorilla	gorilla	primates	3	33
NULL	mandrillus_leucophaeus	drill	primates	4	33
OR52A1	papio_anubis	olive_baboon	primates	5	33
OR52A1	callithrix_jacchus	white_tufted_ear_marmoset	primates	4	33
NULL	papio_anubis	olive_baboon	primates	5	33
NULL	gorilla_gorilla	gorilla	primates	3	33
NULL	aotus_nancymaae	mas_night_monkey	primates	2	33
NULL	pan_troglodytes	chimpanzee	primates	3	33
OR52A5	papio_anubis	olive_baboon	primates	5	33
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	12	12
Olr89	rattus_norvegicus	norway_rat	rodentia	7	36
Olr122	rattus_norvegicus	norway_rat	rodentia	7	36
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	36
Olfr243	mus_musculus	house_mouse	rodentia	7	36
