Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
BLOC1S2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	9
BLOC1S2	bison_bison_bison	american_bison	artiodactyla	1	9
BLOC1S2	camelus_dromedarius	arabian_camel	artiodactyla	1	9
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	9
BLOC1S2	sus_scrofa	wild_boar	artiodactyla	1	9
BLOC1S2	canis_lupus_familiaris	domestic_dog	carnivora	1	10
BLOC1S2	vulpes_vulpes	red_fox	carnivora	1	10
BLOC1S2	ursus_maritimus	polar_bear	carnivora	1	10
BLOC1S2	lynx_canadensis	canadian_lynx	carnivora	1	10
BLOC1S2	felis_catus	domestic_cat	carnivora	1	10
BLOC1S2	zalophus_californianus	cali_sea_lion	carnivora	1	10
BLOC1S2	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
BLOC1S2	panthera_pardus	leopard	carnivora	1	10
BLOC1S2	canis_lupus_dingo	dingo	carnivora	1	10
BLOC1S2	panthera_leo	lion	carnivora	1	10
BLOC1S2	delphinapterus_leucas	beluga_whale	cetacea	1	1
BLOC1S2	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
BLOC1S2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
BLOC1S2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
BLOC1S2	ochotona_princeps	american_pika	lagomorpha	1	2
BLOC1S2	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	2	3
BLOC1S2	equus_caballus	domestic_horse	perissodactyla	1	3
BLOC1S2	papio_anubis	olive_baboon	primates	1	11
BLOC1S2	mandrillus_leucophaeus	drill	primates	1	11
BLOC1S2	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
NULL	carlito_syrichta	philippine_tarsier	primates	3	11
BLOC1S2	gorilla_gorilla	gorilla	primates	1	11
BLOC1S2	macaca_fascicularis	crab_eating_macaque	primates	1	11
BLOC1S2	cercocebus_atys	sooty_mangabey	primates	1	11
BLOC1S2	pan_troglodytes	chimpanzee	primates	1	11
BLOC1S2	aotus_nancymaae	mas_night_monkey	primates	1	11
BLOC1S2	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
BLOC1S2	octodon_degus	degu	rodentia	1	9
BLOC1S2	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Bloc1s2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
Bloc1s2	castor_canadensis	american_beaver	rodentia	1	9
NULL	mus_spicilegus	steppe_mouse	rodentia	1	9
Bloc1s2	mus_musculus	house_mouse	rodentia	1	9
Bloc1s2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Bloc1s2	rattus_norvegicus	norway_rat	rodentia	1	9
BLOC1S2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
BLOC1S2	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
