Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	9	9
OR51Q1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	9	9
OR51B2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	9	9
OR51C1P	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	9	9
OR51B5	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	9	9
OR51B6	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	9	9
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	12	60
OR51F2	bison_bison_bison	american_bison	artiodactyla	13	60
NULL	sus_scrofa	wild_boar	artiodactyla	13	60
NULL	camelus_dromedarius	arabian_camel	artiodactyla	12	60
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	10	60
OR51C1P	bison_bison_bison	american_bison	artiodactyla	13	60
OR51C1P	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	10	60
NULL	bison_bison_bison	american_bison	artiodactyla	13	60
OR51F2	sus_scrofa	wild_boar	artiodactyla	13	60
OR51T1	sus_scrofa	wild_boar	artiodactyla	13	60
OR51F2	camelus_dromedarius	arabian_camel	artiodactyla	12	60
OR51F2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	10	60
OR51B5	camelus_dromedarius	arabian_camel	artiodactyla	12	60
OR51T1	moschus_moschiferus	siberian_musk_deer	artiodactyla	12	60
OR51C1P	sus_scrofa	wild_boar	artiodactyla	13	60
OR51C1P	camelus_dromedarius	arabian_camel	artiodactyla	12	60
OR51F2	moschus_moschiferus	siberian_musk_deer	artiodactyla	12	60
OR51Q1	bison_bison_bison	american_bison	artiodactyla	13	60
OR51B5	sus_scrofa	wild_boar	artiodactyla	13	60
OR51C1P	moschus_moschiferus	siberian_musk_deer	artiodactyla	12	60
OR51Q1	camelus_dromedarius	arabian_camel	artiodactyla	12	60
OR51T1	bison_bison_bison	american_bison	artiodactyla	13	60
OR51T1	camelus_dromedarius	arabian_camel	artiodactyla	12	60
OR51T1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	10	60
OR51B6	camelus_dromedarius	arabian_camel	artiodactyla	12	60
NULL	panthera_leo	lion	carnivora	10	105
NULL	panthera_pardus	leopard	carnivora	10	105
OR51T1	canis_lupus_familiaris	domestic_dog	carnivora	11	105
NULL	lynx_canadensis	canadian_lynx	carnivora	11	105
OR51T1	ursus_maritimus	polar_bear	carnivora	10	105
OR51B5	felis_catus	domestic_cat	carnivora	11	105
NULL	felis_catus	domestic_cat	carnivora	11	105
OR51B4	canis_lupus_familiaris	domestic_dog	carnivora	11	105
OR51B6	lynx_canadensis	canadian_lynx	carnivora	11	105
OR51B6	panthera_pardus	leopard	carnivora	10	105
NULL	canis_lupus_familiaris	domestic_dog	carnivora	11	105
NULL	ursus_maritimus	polar_bear	carnivora	10	105
OR51B6	felis_catus	domestic_cat	carnivora	11	105
OR51B6	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
OR51B6	panthera_leo	lion	carnivora	10	105
OR51B6	canis_lupus_familiaris	domestic_dog	carnivora	11	105
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
NULL	canis_lupus_dingo	dingo	carnivora	13	105
OR51T1	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
OR51C1P	felis_catus	domestic_cat	carnivora	11	105
OR51F2	vulpes_vulpes	red_fox	carnivora	12	105
OR51T1	vulpes_vulpes	red_fox	carnivora	12	105
NULL	vulpes_vulpes	red_fox	carnivora	12	105
OR51B6	canis_lupus_dingo	dingo	carnivora	13	105
OR51T1	canis_lupus_dingo	dingo	carnivora	13	105
OR51AI5	canis_lupus_familiaris	domestic_dog	carnivora	11	105
NULL	zalophus_californianus	cali_sea_lion	carnivora	3	105
OR51B5	ursus_maritimus	polar_bear	carnivora	10	105
OR51T1	panthera_leo	lion	carnivora	10	105
OR51C1P	panthera_leo	lion	carnivora	10	105
OR51B5	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
OR51F23	canis_lupus_familiaris	domestic_dog	carnivora	11	105
OR51C1P	lynx_canadensis	canadian_lynx	carnivora	11	105
OR51T1	lynx_canadensis	canadian_lynx	carnivora	11	105
OR51F2	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
OR51Q1	zalophus_californianus	cali_sea_lion	carnivora	3	105
OR51B18	canis_lupus_familiaris	domestic_dog	carnivora	11	105
OR51B6	vulpes_vulpes	red_fox	carnivora	12	105
OR51C1P	vulpes_vulpes	red_fox	carnivora	12	105
OR51T1	panthera_pardus	leopard	carnivora	10	105
OR51B2	canis_lupus_dingo	dingo	carnivora	13	105
OR51B5	vulpes_vulpes	red_fox	carnivora	12	105
OR51L4	canis_lupus_familiaris	domestic_dog	carnivora	11	105
OR51B2	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
OR51Q1	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
OR51B4	canis_lupus_dingo	dingo	carnivora	13	105
OR51B6	ursus_maritimus	polar_bear	carnivora	10	105
OR51B4	vulpes_vulpes	red_fox	carnivora	12	105
OR51B9	canis_lupus_familiaris	domestic_dog	carnivora	11	105
OR51C1P	ailuropoda_melanoleuca	giant_panda	carnivora	14	105
OR51C1P	delphinapterus_leucas	beluga_whale	cetacea	1	1
OR51B5	pteropus_vampyrus	large_flying_fox	chiroptera	6	6
OR51B6	pteropus_vampyrus	large_flying_fox	chiroptera	6	6
OR51Q1	pteropus_vampyrus	large_flying_fox	chiroptera	6	6
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	6	6
OR51B4	pteropus_vampyrus	large_flying_fox	chiroptera	6	6
OR51B2	pteropus_vampyrus	large_flying_fox	chiroptera	6	6
OR51T1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	22	22
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	22	22
OR51B2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	22	22
OR51F2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	22	22
OR51B5	dasypus_novemcinctus	nine_banded_armadillo	cingulata	22	22
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	5	12
OR51B6	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	5	12
OR51Q1	sorex_araneus	european_shrew	eulipotyphyla	7	12
NULL	sorex_araneus	european_shrew	eulipotyphyla	7	12
OR51B6	sorex_araneus	european_shrew	eulipotyphyla	7	12
OR51F2	sorex_araneus	european_shrew	eulipotyphyla	7	12
OR51T1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	5	12
OR51C1P	sorex_araneus	european_shrew	eulipotyphyla	7	12
OR51B2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
OR51C1P	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
OR51F2	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
OR51Q1	ochotona_princeps	american_pika	lagomorpha	2	12
OR51B4	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
OR51T1	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
OLFR64_1	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
OLR96	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
OR51C1P	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
NULL	ochotona_princeps	american_pika	lagomorpha	2	12
OLR140	oryctolagus_cuniculus	rabbit	lagomorpha	10	12
NULL	equus_asinus_asinus	donkey	perissodactyla	12	27
OR51B5	equus_asinus_asinus	donkey	perissodactyla	12	27
OR51F2	equus_asinus_asinus	donkey	perissodactyla	12	27
OR51B6	equus_asinus_asinus	donkey	perissodactyla	12	27
OR51T1	equus_caballus	domestic_horse	perissodactyla	15	27
NULL	equus_caballus	domestic_horse	perissodactyla	15	27
OR51B4	equus_caballus	domestic_horse	perissodactyla	15	27
OR51Q1	equus_asinus_asinus	donkey	perissodactyla	12	27
OR51B6	equus_caballus	domestic_horse	perissodactyla	15	27
OR51T1	equus_asinus_asinus	donkey	perissodactyla	12	27
OR51Q1	equus_caballus	domestic_horse	perissodactyla	15	27
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	8	8
OR51C1P	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	8	8
OR51F2	macaca_fascicularis	crab_eating_macaque	primates	2	28
OR51B5	gorilla_gorilla	gorilla	primates	5	28
OR51B2	gorilla_gorilla	gorilla	primates	5	28
OR51B4	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
OR51T1	gorilla_gorilla	gorilla	primates	5	28
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	28
OR51B5	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
OR51T1	nomascus_leucogenys	gibbon	primates	3	28
OR51F2	gorilla_gorilla	gorilla	primates	5	28
OR51F2	mandrillus_leucophaeus	drill	primates	2	28
OR51B6	aotus_nancymaae	mas_night_monkey	primates	1	28
OR51F2	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
OR51Q1	pan_troglodytes	chimpanzee	primates	4	28
OR51B6	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
OR51C1P	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
OR51T1	mandrillus_leucophaeus	drill	primates	2	28
OR51F2	cercocebus_atys	sooty_mangabey	primates	1	28
OR51F2	pan_troglodytes	chimpanzee	primates	4	28
NULL	nomascus_leucogenys	gibbon	primates	3	28
OR51F2	papio_anubis	olive_baboon	primates	1	28
OR51T1	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
OR51B6	pan_troglodytes	chimpanzee	primates	4	28
OR51B6	gorilla_gorilla	gorilla	primates	5	28
OR51B6	nomascus_leucogenys	gibbon	primates	3	28
OR51B2	callithrix_jacchus	white_tufted_ear_marmoset	primates	9	28
OR51T1	pan_troglodytes	chimpanzee	primates	4	28
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	22	22
OR51T1	loxodonta_africana	african_savanna_elephant	proboscidea	22	22
OR51B2	loxodonta_africana	african_savanna_elephant	proboscidea	22	22
OR51B6	loxodonta_africana	african_savanna_elephant	proboscidea	22	22
OR51B4	loxodonta_africana	african_savanna_elephant	proboscidea	22	22
OR51F2	loxodonta_africana	african_savanna_elephant	proboscidea	22	22
OR51C1P	loxodonta_africana	african_savanna_elephant	proboscidea	22	22
Olfr64	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr630	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr630	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
Olfr65	mus_spicilegus	steppe_mouse	rodentia	12	78
OR51F2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	8	78
NULL	castor_canadensis	american_beaver	rodentia	5	78
Olfr632	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr64	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	8	78
Olr96	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr630	mus_musculus	house_mouse	rodentia	15	78
Olfr65	mus_musculus	house_mouse	rodentia	15	78
Olfr623	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr574	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
Olfr632	mus_musculus	house_mouse	rodentia	15	78
Olr137	rattus_norvegicus	norway_rat	rodentia	16	78
OR51B6	chinchilla_lanigera	long_tailed_chinchilla	rodentia	8	78
NULL	mus_spicilegus	steppe_mouse	rodentia	12	78
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	6	78
LOC100912515	rattus_norvegicus	norway_rat	rodentia	16	78
Olr139	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr574	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr574	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr568	mus_musculus	house_mouse	rodentia	15	78
Olfr568	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
Olfr606	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
Olfr560	mus_musculus	house_mouse	rodentia	15	78
Olfr66	mus_musculus	house_mouse	rodentia	15	78
Olfr561	mus_musculus	house_mouse	rodentia	15	78
Olfr66	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
Olr131	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr564	mus_musculus	house_mouse	rodentia	15	78
OR51Q1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	8	78
Olfr560	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	13	78
Olr125	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr66	castor_canadensis	american_beaver	rodentia	5	78
OR51F2	octodon_degus	degu	rodentia	2	78
Olfr638	mus_musculus	house_mouse	rodentia	15	78
Olfr568	castor_canadensis	american_beaver	rodentia	5	78
Olfr606	mus_musculus	house_mouse	rodentia	15	78
Olr57	rattus_norvegicus	norway_rat	rodentia	16	78
Olr119	rattus_norvegicus	norway_rat	rodentia	16	78
OR51B4	chinchilla_lanigera	long_tailed_chinchilla	rodentia	8	78
Olr53	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr64	mus_musculus	house_mouse	rodentia	15	78
AC096030.2	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr574	castor_canadensis	american_beaver	rodentia	5	78
Olfr568	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr606	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr561	castor_canadensis	american_beaver	rodentia	5	78
Olfr561	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr574	mus_musculus	house_mouse	rodentia	15	78
Olfr635	mus_musculus	house_mouse	rodentia	15	78
Olr130	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr64	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	78
OR51T1	octodon_degus	degu	rodentia	2	78
Olr132	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr66	mus_spicilegus	steppe_mouse	rodentia	12	78
Olfr562-ps1	mus_musculus	house_mouse	rodentia	15	78
Olfr560	mus_spicilegus	steppe_mouse	rodentia	12	78
Olr129	rattus_norvegicus	norway_rat	rodentia	16	78
Olr140	rattus_norvegicus	norway_rat	rodentia	16	78
Olr56	rattus_norvegicus	norway_rat	rodentia	16	78
Olfr623	mus_musculus	house_mouse	rodentia	15	78
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	6	6
OR51B6	tupaia_belangeri	nothern_tree_shrew	scandentia	6	6
OR51T1	tupaia_belangeri	nothern_tree_shrew	scandentia	6	6
OR51B5	tupaia_belangeri	nothern_tree_shrew	scandentia	6	6
