Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
GPR22	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
QRFPR	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
FFAR4	sus_scrofa	wild_boar	artiodactyla	3	17
FFAR4	camelus_dromedarius	arabian_camel	artiodactyla	4	17
NULL	camelus_dromedarius	arabian_camel	artiodactyla	4	17
GPR22	sus_scrofa	wild_boar	artiodactyla	3	17
QRFPR	camelus_dromedarius	arabian_camel	artiodactyla	4	17
QRFPR	sus_scrofa	wild_boar	artiodactyla	3	17
QRFPR	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	17
GPR22	camelus_dromedarius	arabian_camel	artiodactyla	4	17
FFAR4	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	17
FFAR4	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	17
FFAR4	bison_bison_bison	american_bison	artiodactyla	4	17
QRFPR	bison_bison_bison	american_bison	artiodactyla	4	17
GPR22	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	17
QRFPR	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	17
GPR22	bison_bison_bison	american_bison	artiodactyla	4	17
GPR22	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	17
NULL	bison_bison_bison	american_bison	artiodactyla	4	17
FFAR4	zalophus_californianus	cali_sea_lion	carnivora	3	30
FFAR4	lynx_canadensis	canadian_lynx	carnivora	3	30
FFAR4	vulpes_vulpes	red_fox	carnivora	3	30
QRFPR	canis_lupus_familiaris	domestic_dog	carnivora	3	30
FFAR4	ursus_maritimus	polar_bear	carnivora	3	30
GPR22	canis_lupus_familiaris	domestic_dog	carnivora	3	30
GPR22	ursus_maritimus	polar_bear	carnivora	3	30
QRFPR	lynx_canadensis	canadian_lynx	carnivora	3	30
GPR22	zalophus_californianus	cali_sea_lion	carnivora	3	30
GPR22	felis_catus	domestic_cat	carnivora	3	30
