Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
EXOSC9	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
EXOSC7	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
EXOSC8	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
EXOSC7	bison_bison_bison	american_bison	artiodactyla	3	16
EXOSC8	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	16
EXOSC9	camelus_dromedarius	arabian_camel	artiodactyla	3	16
EXOSC7	sus_scrofa	wild_boar	artiodactyla	3	16
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	16
EXOSC8	camelus_dromedarius	arabian_camel	artiodactyla	3	16
EXOSC8	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	16
EXOSC7	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	16
EXOSC9	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	16
EXOSC7	camelus_dromedarius	arabian_camel	artiodactyla	3	16
EXOSC9	bison_bison_bison	american_bison	artiodactyla	3	16
EXOSC8	bison_bison_bison	american_bison	artiodactyla	3	16
EXOSC9	sus_scrofa	wild_boar	artiodactyla	3	16
EXOSC7	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	16
EXOSC8	sus_scrofa	wild_boar	artiodactyla	3	16
EXOSC8	felis_catus	domestic_cat	carnivora	4	35
EXOSC7	panthera_pardus	leopard	carnivora	5	35
EXOSC9	canis_lupus_dingo	dingo	carnivora	3	35
EXOSC8	canis_lupus_familiaris	domestic_dog	carnivora	3	35
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	35
EXOSC8	panthera_leo	lion	carnivora	3	35
EXOSC7	canis_lupus_dingo	dingo	carnivora	3	35
EXOSC9	ailuropoda_melanoleuca	giant_panda	carnivora	3	35
NULL	felis_catus	domestic_cat	carnivora	4	35
EXOSC8	vulpes_vulpes	red_fox	carnivora	3	35
EXOSC7	ailuropoda_melanoleuca	giant_panda	carnivora	3	35
EXOSC9	canis_lupus_familiaris	domestic_dog	carnivora	3	35
EXOSC7	lynx_canadensis	canadian_lynx	carnivora	4	35
EXOSC8	ailuropoda_melanoleuca	giant_panda	carnivora	3	35
EXOSC7	felis_catus	domestic_cat	carnivora	4	35
EXOSC9	zalophus_californianus	cali_sea_lion	carnivora	4	35
NULL	panthera_pardus	leopard	carnivora	5	35
EXOSC8	ursus_maritimus	polar_bear	carnivora	3	35
EXOSC9	vulpes_vulpes	red_fox	carnivora	3	35
NULL	lynx_canadensis	canadian_lynx	carnivora	4	35
EXOSC7	zalophus_californianus	cali_sea_lion	carnivora	4	35
EXOSC7	vulpes_vulpes	red_fox	carnivora	3	35
EXOSC9	ursus_maritimus	polar_bear	carnivora	3	35
EXOSC7	canis_lupus_familiaris	domestic_dog	carnivora	3	35
EXOSC7	ursus_maritimus	polar_bear	carnivora	3	35
EXOSC8	lynx_canadensis	canadian_lynx	carnivora	4	35
EXOSC7	panthera_leo	lion	carnivora	3	35
EXOSC9	felis_catus	domestic_cat	carnivora	4	35
EXOSC8	canis_lupus_dingo	dingo	carnivora	3	35
EXOSC9	panthera_leo	lion	carnivora	3	35
NULL	delphinapterus_leucas	beluga_whale	cetacea	5	5
EXOSC7	delphinapterus_leucas	beluga_whale	cetacea	5	5
EXOSC9	delphinapterus_leucas	beluga_whale	cetacea	5	5
EXOSC7	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
EXOSC8	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
EXOSC9	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
EXOSC8	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
EXOSC7	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
EXOSC9	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
EXOSC7	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	6
NULL	sorex_araneus	european_shrew	eulipotyphyla	3	6
EXOSC9	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	6
EXOSC8	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	3	6
EXOSC7	sorex_araneus	european_shrew	eulipotyphyla	3	6
EXOSC8	sorex_araneus	european_shrew	eulipotyphyla	3	6
EXOSC7	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
EXOSC8	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
EXOSC9	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
EXOSC8	ochotona_princeps	american_pika	lagomorpha	3	6
EXOSC9	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
EXOSC7	ochotona_princeps	american_pika	lagomorpha	3	6
EXOSC8	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
EXOSC9	ochotona_princeps	american_pika	lagomorpha	3	6
EXOSC7	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
EXOSC7	equus_caballus	domestic_horse	perissodactyla	3	6
EXOSC7	equus_asinus_asinus	donkey	perissodactyla	3	6
EXOSC9	equus_asinus_asinus	donkey	perissodactyla	3	6
EXOSC8	equus_asinus_asinus	donkey	perissodactyla	3	6
EXOSC8	equus_caballus	domestic_horse	perissodactyla	3	6
EXOSC9	equus_caballus	domestic_horse	perissodactyla	3	6
EXOSC9	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
EXOSC8	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
EXOSC7	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
EXOSC9	papio_anubis	olive_baboon	primates	3	30
EXOSC8	mandrillus_leucophaeus	drill	primates	3	30
EXOSC7	macaca_fascicularis	crab_eating_macaque	primates	3	30
EXOSC9	pan_troglodytes	chimpanzee	primates	3	30
EXOSC8	macaca_fascicularis	crab_eating_macaque	primates	3	30
EXOSC8	gorilla_gorilla	gorilla	primates	3	30
EXOSC8	pan_troglodytes	chimpanzee	primates	3	30
EXOSC8	papio_anubis	olive_baboon	primates	3	30
EXOSC9	nomascus_leucogenys	gibbon	primates	3	30
EXOSC9	mandrillus_leucophaeus	drill	primates	3	30
EXOSC9	cercocebus_atys	sooty_mangabey	primates	3	30
EXOSC7	nomascus_leucogenys	gibbon	primates	3	30
EXOSC9	macaca_fascicularis	crab_eating_macaque	primates	3	30
EXOSC7	papio_anubis	olive_baboon	primates	3	30
EXOSC9	gorilla_gorilla	gorilla	primates	3	30
EXOSC8	cercocebus_atys	sooty_mangabey	primates	3	30
EXOSC7	gorilla_gorilla	gorilla	primates	3	30
EXOSC8	aotus_nancymaae	mas_night_monkey	primates	3	30
EXOSC9	aotus_nancymaae	mas_night_monkey	primates	3	30
EXOSC8	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	30
EXOSC7	mandrillus_leucophaeus	drill	primates	3	30
EXOSC8	nomascus_leucogenys	gibbon	primates	3	30
EXOSC7	aotus_nancymaae	mas_night_monkey	primates	3	30
EXOSC9	carlito_syrichta	philippine_tarsier	primates	3	30
EXOSC9	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	30
EXOSC8	carlito_syrichta	philippine_tarsier	primates	3	30
EXOSC7	carlito_syrichta	philippine_tarsier	primates	3	30
EXOSC7	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	30
EXOSC7	cercocebus_atys	sooty_mangabey	primates	3	30
EXOSC7	pan_troglodytes	chimpanzee	primates	3	30
EXOSC9	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
EXOSC8	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
EXOSC7	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
Exosc7	mus_spicilegus	steppe_mouse	rodentia	3	30
Exosc7	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	30
Exosc9	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	30
Exosc8	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	30
Exosc8	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	30
EXOSC8	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	30
Exosc9	mus_spicilegus	steppe_mouse	rodentia	3	30
Exosc8	mus_musculus	house_mouse	rodentia	3	30
NULL	mus_spicilegus	steppe_mouse	rodentia	3	30
