Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
PBLD	sus_scrofa	wild_boar	artiodactyla	1	5
PBLD	camelus_dromedarius	arabian_camel	artiodactyla	1	5
PBLD	bison_bison_bison	american_bison	artiodactyla	1	5
PBLD	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
PBLD	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
PBLD	vulpes_vulpes	red_fox	carnivora	1	10
PBLD	panthera_leo	lion	carnivora	1	10
PBLD	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
PBLD	panthera_pardus	leopard	carnivora	1	10
PBLD	ursus_maritimus	polar_bear	carnivora	1	10
PBLD	canis_lupus_familiaris	domestic_dog	carnivora	1	10
PBLD	felis_catus	domestic_cat	carnivora	1	10
PBLD	lynx_canadensis	canadian_lynx	carnivora	1	10
PBLD	zalophus_californianus	cali_sea_lion	carnivora	1	10
PBLD	canis_lupus_dingo	dingo	carnivora	1	10
PBLD	delphinapterus_leucas	beluga_whale	cetacea	1	1
PBLD	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
PBLD	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
PBLD	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
PBLD	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
PBLD	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
PBLD	equus_asinus_asinus	donkey	perissodactyla	1	2
PBLD	equus_caballus	domestic_horse	perissodactyla	1	2
PBLD	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
PBLD	nomascus_leucogenys	gibbon	primates	1	10
PBLD	gorilla_gorilla	gorilla	primates	1	10
PBLD	macaca_fascicularis	crab_eating_macaque	primates	1	10
PBLD	aotus_nancymaae	mas_night_monkey	primates	1	10
PBLD	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
PBLD	papio_anubis	olive_baboon	primates	1	10
PBLD	mandrillus_leucophaeus	drill	primates	1	10
PBLD	carlito_syrichta	philippine_tarsier	primates	1	10
PBLD	cercocebus_atys	sooty_mangabey	primates	1	10
PBLD	pan_troglodytes	chimpanzee	primates	1	10
PBLD	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
PBLD	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
NULL	castor_canadensis	american_beaver	rodentia	1	11
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	11
PBLD	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
Pbld1	rattus_norvegicus	norway_rat	rodentia	1	11
Pbld2	mus_musculus	house_mouse	rodentia	2	11
Pbld2	mus_spicilegus	steppe_mouse	rodentia	1	11
Pbld1	mus_musculus	house_mouse	rodentia	2	11
PBLD	octodon_degus	degu	rodentia	1	11
Pbld2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
PBLD	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
