Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
PCDHGC5	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
PCDHGC5	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	2
PCDHGC5	bison_bison_bison	american_bison	artiodactyla	1	2
PCDHGC5	panthera_leo	lion	carnivora	1	8
PCDHGC4	ursus_maritimus	polar_bear	carnivora	1	8
PCDHGC4	vulpes_vulpes	red_fox	carnivora	2	8
PCDHGC5	panthera_pardus	leopard	carnivora	1	8
PCDHGC4	canis_lupus_dingo	dingo	carnivora	2	8
PCDHGC5	vulpes_vulpes	red_fox	carnivora	2	8
PCDHGC5	ailuropoda_melanoleuca	giant_panda	carnivora	1	8
PCDHGC5	canis_lupus_dingo	dingo	carnivora	2	8
PCDHGC4	delphinapterus_leucas	beluga_whale	cetacea	1	1
PCDHGC5	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
PCDHGC5	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
PCDHGC5	sorex_araneus	european_shrew	eulipotyphyla	1	2
PCDHGC5	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
PCDHGC5	ochotona_princeps	american_pika	lagomorpha	1	1
PCDHGC4	equus_asinus_asinus	donkey	perissodactyla	1	1
PCDHGC5	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
PCDHGA8	pan_troglodytes	chimpanzee	primates	1	3
PCDHGC5	mandrillus_leucophaeus	drill	primates	1	3
PCDHGC5	carlito_syrichta	philippine_tarsier	primates	1	3
PCDHGC5	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Pcdhgc5	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	7
Pcdhgc4	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	7
PCDHGC4	cavia_aperea	brazilian_guinea_pig	rodentia	1	7
Pcdhgc4	mus_musculus	house_mouse	rodentia	2	7
Pcdhgc5	mus_musculus	house_mouse	rodentia	2	7
Pcdhgc5	mus_spicilegus	steppe_mouse	rodentia	1	7
PCDHGC4	octodon_degus	degu	rodentia	1	7
PCDHGC5	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
