Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
YJU2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
YJU2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
YJU2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
CCDC130	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
CCDC130	camelus_dromedarius	arabian_camel	artiodactyla	2	10
YJU2	sus_scrofa	wild_boar	artiodactyla	2	10
CCDC130	bison_bison_bison	american_bison	artiodactyla	2	10
CCDC130	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
YJU2	camelus_dromedarius	arabian_camel	artiodactyla	2	10
YJU2	bison_bison_bison	american_bison	artiodactyla	2	10
CCDC130	sus_scrofa	wild_boar	artiodactyla	2	10
CCDC130	canis_lupus_familiaris	domestic_dog	carnivora	2	19
NULL	felis_catus	domestic_cat	carnivora	2	19
CCDC130	panthera_leo	lion	carnivora	2	19
YJU2	zalophus_californianus	cali_sea_lion	carnivora	2	19
YJU2	panthera_pardus	leopard	carnivora	2	19
YJU2	ursus_maritimus	polar_bear	carnivora	2	19
CCDC130	ursus_maritimus	polar_bear	carnivora	2	19
YJU2	canis_lupus_familiaris	domestic_dog	carnivora	2	19
CCDC130	zalophus_californianus	cali_sea_lion	carnivora	2	19
CCDC130	canis_lupus_dingo	dingo	carnivora	2	19
CCDC130	ailuropoda_melanoleuca	giant_panda	carnivora	2	19
YJU2	vulpes_vulpes	red_fox	carnivora	2	19
YJU2	ailuropoda_melanoleuca	giant_panda	carnivora	2	19
CCDC130	vulpes_vulpes	red_fox	carnivora	2	19
YJU2	felis_catus	domestic_cat	carnivora	2	19
YJU2	canis_lupus_dingo	dingo	carnivora	2	19
YJU2	panthera_leo	lion	carnivora	2	19
CCDC130	lynx_canadensis	canadian_lynx	carnivora	1	19
CCDC130	panthera_pardus	leopard	carnivora	2	19
YJU2	delphinapterus_leucas	beluga_whale	cetacea	2	2
CCDC130	delphinapterus_leucas	beluga_whale	cetacea	2	2
CCDC130	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
YJU2	sorex_araneus	european_shrew	eulipotyphyla	2	3
YJU2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	3
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	3
YJU2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
CCDC130	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
CCDC130	ochotona_princeps	american_pika	lagomorpha	1	1
YJU2	equus_caballus	domestic_horse	perissodactyla	2	4
NULL	equus_asinus_asinus	donkey	perissodactyla	2	4
CCDC130	equus_asinus_asinus	donkey	perissodactyla	2	4
CCDC130	equus_caballus	domestic_horse	perissodactyla	2	4
CCDC130	pan_troglodytes	chimpanzee	primates	2	19
NULL	nomascus_leucogenys	gibbon	primates	2	19
CCDC130	papio_anubis	olive_baboon	primates	2	19
CCDC130	carlito_syrichta	philippine_tarsier	primates	2	19
YJU2	cercocebus_atys	sooty_mangabey	primates	2	19
YJU2	papio_anubis	olive_baboon	primates	2	19
CCDC130	aotus_nancymaae	mas_night_monkey	primates	2	19
CCDC130	mandrillus_leucophaeus	drill	primates	2	19
YJU2	mandrillus_leucophaeus	drill	primates	2	19
YJU2	aotus_nancymaae	mas_night_monkey	primates	2	19
YJU2	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	19
CCDC130	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	19
YJU2	pan_troglodytes	chimpanzee	primates	2	19
CCDC130	gorilla_gorilla	gorilla	primates	2	19
CCDC130	cercocebus_atys	sooty_mangabey	primates	2	19
CCDC130	macaca_fascicularis	crab_eating_macaque	primates	1	19
YJU2	carlito_syrichta	philippine_tarsier	primates	2	19
YJU2	gorilla_gorilla	gorilla	primates	2	19
CCDC130	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
YJU2	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
Yju2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	20
Ccdc130	mus_musculus	house_mouse	rodentia	2	20
Yju2	rattus_norvegicus	norway_rat	rodentia	3	20
CCDC130	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	20
Ccdc130	castor_canadensis	american_beaver	rodentia	2	20
Yju2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	20
Yju2	mus_spicilegus	steppe_mouse	rodentia	3	20
Ccdc130	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	20
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	20
YJU2	cavia_aperea	brazilian_guinea_pig	rodentia	2	20
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	20
NULL	mus_spicilegus	steppe_mouse	rodentia	3	20
Ccdc130	rattus_norvegicus	norway_rat	rodentia	3	20
AABR07024964.1	rattus_norvegicus	norway_rat	rodentia	3	20
Yju2	mus_musculus	house_mouse	rodentia	2	20
YJU2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	20
Yju2	castor_canadensis	american_beaver	rodentia	2	20
YJU2	octodon_degus	degu	rodentia	2	20
Ccdc130	mus_spicilegus	steppe_mouse	rodentia	3	20
CCDC130	octodon_degus	degu	rodentia	2	20
CCDC130	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
