SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	loxodonta_africana	ENSLAFP00000010890	scaffold_7	59916016	59917146	-1	ENSLAFG00000013026	ACTBL2	african_savanna_elephant
SEQ	mus_musculus	ENSMUSP00000052086	13	111255013	111257749	1	ENSMUSG00000055194	Actbl2	house_mouse
SEQ	sorex_araneus	ENSSARP00000003545	GeneScaffold_5494	44756	46550	-1	ENSSARG00000003925	ACTBL2	european_shrew
SEQ	chinchilla_lanigera	ENSCLAP00000025598	JH721906.1	10508647	10509777	1	ENSCLAG00000017702	ACTBL2	long_tailed_chinchilla
SEQ	oryctolagus_cuniculus	ENSOCUP00000000576	11	73382640	73383951	-1	ENSOCUG00000000663	ACTBL2	rabbit
SEQ	nannospalax_galili	ENSNGAP00000012773	KL198960.1	25310	26739	1	ENSNGAG00000014532	NULL	upper_galilee_mountains_blind_mole_rat
SEQ	echinops_telfairi	ENSETEP00000010855	scaffold_231929	91	1221	1	ENSETEG00000013386	ACTBL2	lesser_hedgehog_tenrec
SEQ	erinaceus_europaeus	ENSEEUP00000006471	GeneScaffold_6774	1908	8511	-1	ENSEEUG00000007097	NULL	western_european_hedgehog
SEQ	vulpes_vulpes	ENSVVUP00000029349	NBDQ01000005.1	26420714	26421983	-1	ENSVVUG00000021457	ACTBL2	red_fox
SEQ	equus_caballus	ENSECAP00000002991	21	15784676	15785806	1	ENSECAG00000004482	ACTBL2	domestic_horse
SEQ	choloepus_hoffmanni	ENSCHOP00000008156	scaffold_20788	8704	9591	-1	ENSCHOG00000009227	ACTBL2	Hoffmanns_two_fingered_sloth
SEQ	mus_spicilegus	ENSMSIP00000018585	QGOO01037346.1	145647	147152	-1	ENSMSIG00000015838	Actbl2	steppe_mouse
SEQ	pteropus_vampyrus	ENSPVAP00000010677	GeneScaffold_2924	16890	18426	-1	ENSPVAG00000011326	ACTBL2	large_flying_fox
SEQ	ailuropoda_melanoleuca	ENSAMEP00000020211	GL193381.1	580505	581635	1	ENSAMEG00000019137	ACTBL2	giant_panda
SEQ	dasypus_novemcinctus	ENSDNOP00000028510	JH568145.1	973517	974599	-1	ENSDNOG00000042257	ACTBL2	nine_banded_armadillo
SEQ	canis_lupus_dingo	ENSCAFP00020030684	QKWQ01000243.1	39749672	39750802	1	ENSCAFG00020023927	ACTBL2	dingo
SEQ	nannospalax_galili	ENSNGAP00000015526	KL200601.1	363731	364861	1	ENSNGAG00000016530	NULL	upper_galilee_mountains_blind_mole_rat
