Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
RBM12B	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
RBM12B	bison_bison_bison	american_bison	artiodactyla	1	5
RBM12B	sus_scrofa	wild_boar	artiodactyla	1	5
RBM12B	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
RBM12B	camelus_dromedarius	arabian_camel	artiodactyla	1	5
RBM12B	zalophus_californianus	cali_sea_lion	carnivora	1	9
RBM12B	vulpes_vulpes	red_fox	carnivora	1	9
RBM12B	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
RBM12B	lynx_canadensis	canadian_lynx	carnivora	1	9
RBM12B	felis_catus	domestic_cat	carnivora	1	9
RBM12B	panthera_leo	lion	carnivora	1	9
RBM12B	canis_lupus_dingo	dingo	carnivora	1	9
RBM12B	canis_lupus_familiaris	domestic_dog	carnivora	1	9
RBM12B	ursus_maritimus	polar_bear	carnivora	1	9
RBM12B	delphinapterus_leucas	beluga_whale	cetacea	1	1
RBM12B	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
RBM12B	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
RBM12B	sorex_araneus	european_shrew	eulipotyphyla	1	1
RBM12B	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
RBM12B	equus_caballus	domestic_horse	perissodactyla	1	2
RBM12B	equus_asinus_asinus	donkey	perissodactyla	1	2
RBM12B	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
RBM12B	carlito_syrichta	philippine_tarsier	primates	1	10
RBM12B	cercocebus_atys	sooty_mangabey	primates	1	10
RBM12B	gorilla_gorilla	gorilla	primates	1	10
RBM12B	mandrillus_leucophaeus	drill	primates	1	10
RBM12B	papio_anubis	olive_baboon	primates	1	10
RBM12B	macaca_fascicularis	crab_eating_macaque	primates	1	10
RBM12B	aotus_nancymaae	mas_night_monkey	primates	1	10
RBM12B	nomascus_leucogenys	gibbon	primates	1	10
RBM12B	pan_troglodytes	chimpanzee	primates	1	10
RBM12B	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
RBM12B	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
LOC679087	rattus_norvegicus	norway_rat	rodentia	2	11
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
RBM12B	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
Rbm12b2	mus_spicilegus	steppe_mouse	rodentia	2	11
RBM12B	octodon_degus	degu	rodentia	1	11
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
Rbm12b1	mus_musculus	house_mouse	rodentia	2	11
Rbm12b2	mus_musculus	house_mouse	rodentia	2	11
RBM12B	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
Rbm12b	rattus_norvegicus	norway_rat	rodentia	2	11
NULL	mus_spicilegus	steppe_mouse	rodentia	2	11
RBM12B	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
