Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
WDR20	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
WDR20	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
DMWD	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
DMWD	sus_scrofa	wild_boar	artiodactyla	2	10
WDR20	camelus_dromedarius	arabian_camel	artiodactyla	2	10
DMWD	camelus_dromedarius	arabian_camel	artiodactyla	2	10
DMWD	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
WDR20	bison_bison_bison	american_bison	artiodactyla	2	10
WDR20	sus_scrofa	wild_boar	artiodactyla	2	10
DMWD	bison_bison_bison	american_bison	artiodactyla	2	10
WDR20	felis_catus	domestic_cat	carnivora	1	18
DMWD	canis_lupus_dingo	dingo	carnivora	2	18
WDR20	lynx_canadensis	canadian_lynx	carnivora	2	18
WDR20	panthera_leo	lion	carnivora	2	18
DMWD	zalophus_californianus	cali_sea_lion	carnivora	2	18
WDR20	panthera_pardus	leopard	carnivora	2	18
WDR20	canis_lupus_dingo	dingo	carnivora	2	18
DMWD	canis_lupus_familiaris	domestic_dog	carnivora	2	18
WDR20	vulpes_vulpes	red_fox	carnivora	2	18
WDR20	canis_lupus_familiaris	domestic_dog	carnivora	2	18
WDR20	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
DMWD	panthera_leo	lion	carnivora	2	18
DMWD	lynx_canadensis	canadian_lynx	carnivora	2	18
WDR20	zalophus_californianus	cali_sea_lion	carnivora	2	18
DMWD	panthera_pardus	leopard	carnivora	2	18
DMWD	vulpes_vulpes	red_fox	carnivora	2	18
DMWD	ailuropoda_melanoleuca	giant_panda	carnivora	2	18
WDR20	ursus_maritimus	polar_bear	carnivora	1	18
WDR20	delphinapterus_leucas	beluga_whale	cetacea	2	2
DMWD	delphinapterus_leucas	beluga_whale	cetacea	2	2
DMWD	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
WDR20	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
WDR20	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
WDR20	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	4
DMWD	sorex_araneus	european_shrew	eulipotyphyla	3	4
NULL	sorex_araneus	european_shrew	eulipotyphyla	3	4
DMWD	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
WDR20	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
WDR20	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
DMWD	ochotona_princeps	american_pika	lagomorpha	2	4
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
WDR20	ochotona_princeps	american_pika	lagomorpha	2	4
DMWD	equus_caballus	domestic_horse	perissodactyla	2	4
WDR20	equus_asinus_asinus	donkey	perissodactyla	2	4
