Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
BTG1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
BTG2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
BTG1	bison_bison_bison	american_bison	artiodactyla	4	23
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	6	23
BTG1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	6	23
BTG3	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	23
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	23
BTG1	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	23
BTG2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	6	23
BTG1	sus_scrofa	wild_boar	artiodactyla	3	23
BTG4	bison_bison_bison	american_bison	artiodactyla	4	23
BTG1	camelus_dromedarius	arabian_camel	artiodactyla	5	23
BTG2	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	23
BTG2	camelus_dromedarius	arabian_camel	artiodactyla	5	23
BTG4	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	6	23
BTG4	sus_scrofa	wild_boar	artiodactyla	3	23
BTG3	sus_scrofa	wild_boar	artiodactyla	3	23
BTG4	camelus_dromedarius	arabian_camel	artiodactyla	5	23
BTG3	camelus_dromedarius	arabian_camel	artiodactyla	5	23
NULL	camelus_dromedarius	arabian_camel	artiodactyla	5	23
BTG3	bison_bison_bison	american_bison	artiodactyla	4	23
BTG2	bison_bison_bison	american_bison	artiodactyla	4	23
BTG3	vulpes_vulpes	red_fox	carnivora	5	41
BTG4	panthera_leo	lion	carnivora	4	41
BTG2	canis_lupus_dingo	dingo	carnivora	4	41
BTG2	canis_lupus_familiaris	domestic_dog	carnivora	4	41
BTG3	lynx_canadensis	canadian_lynx	carnivora	4	41
BTG2	panthera_leo	lion	carnivora	4	41
BTG4	panthera_pardus	leopard	carnivora	4	41
BTG1	canis_lupus_familiaris	domestic_dog	carnivora	4	41
BTG1	panthera_leo	lion	carnivora	4	41
BTG1	canis_lupus_dingo	dingo	carnivora	4	41
BTG3	ailuropoda_melanoleuca	giant_panda	carnivora	4	41
BTG1	vulpes_vulpes	red_fox	carnivora	5	41
BTG1	felis_catus	domestic_cat	carnivora	4	41
BTG1	ailuropoda_melanoleuca	giant_panda	carnivora	4	41
BTG2	zalophus_californianus	cali_sea_lion	carnivora	4	41
BTG2	lynx_canadensis	canadian_lynx	carnivora	4	41
BTG2	panthera_pardus	leopard	carnivora	4	41
BTG3	panthera_leo	lion	carnivora	4	41
NULL	vulpes_vulpes	red_fox	carnivora	5	41
BTG3	felis_catus	domestic_cat	carnivora	4	41
BTG2	vulpes_vulpes	red_fox	carnivora	5	41
BTG2	felis_catus	domestic_cat	carnivora	4	41
BTG1	zalophus_californianus	cali_sea_lion	carnivora	4	41
BTG4	lynx_canadensis	canadian_lynx	carnivora	4	41
BTG3	canis_lupus_dingo	dingo	carnivora	4	41
BTG3	canis_lupus_familiaris	domestic_dog	carnivora	4	41
BTG3	ursus_maritimus	polar_bear	carnivora	4	41
BTG2	ailuropoda_melanoleuca	giant_panda	carnivora	4	41
BTG4	zalophus_californianus	cali_sea_lion	carnivora	4	41
BTG4	ursus_maritimus	polar_bear	carnivora	4	41
BTG4	felis_catus	domestic_cat	carnivora	4	41
BTG2	ursus_maritimus	polar_bear	carnivora	4	41
