Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
ABCB1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
NULL	sus_scrofa	wild_boar	artiodactyla	4	10
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
ABCB1	camelus_dromedarius	arabian_camel	artiodactyla	1	10
ABCB1	bison_bison_bison	american_bison	artiodactyla	1	10
ABCB1	ailuropoda_melanoleuca	giant_panda	carnivora	1	8
ABCB1	canis_lupus_familiaris	domestic_dog	carnivora	1	8
ABCB1	panthera_leo	lion	carnivora	1	8
ABCB1	ursus_maritimus	polar_bear	carnivora	1	8
ABCB1	panthera_pardus	leopard	carnivora	1	8
NULL	vulpes_vulpes	red_fox	carnivora	1	8
ABCB1	canis_lupus_dingo	dingo	carnivora	1	8
ABCB1	zalophus_californianus	cali_sea_lion	carnivora	1	8
ABCB1	delphinapterus_leucas	beluga_whale	cetacea	1	1
ABCB1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
ABCB1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
ABCB1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
ABCB1	sorex_araneus	european_shrew	eulipotyphyla	1	2
ABCB1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
ABCB1	ochotona_princeps	american_pika	lagomorpha	1	2
ABCB1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
ABCB1	equus_caballus	domestic_horse	perissodactyla	1	2
ABCB1	equus_asinus_asinus	donkey	perissodactyla	1	2
ABCB1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
ABCB1	mandrillus_leucophaeus	drill	primates	1	7
ABCB1	gorilla_gorilla	gorilla	primates	1	7
ABCB1	macaca_fascicularis	crab_eating_macaque	primates	1	7
ABCB1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	7
ABCB1	nomascus_leucogenys	gibbon	primates	1	7
ABCB1	carlito_syrichta	philippine_tarsier	primates	1	7
ABCB1	pan_troglodytes	chimpanzee	primates	1	7
ABCB1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	3	19
NULL	castor_canadensis	american_beaver	rodentia	2	19
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	19
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	19
Abcb1b	mus_spicilegus	steppe_mouse	rodentia	1	19
NULL	octodon_degus	degu	rodentia	3	19
Abcb1a	mus_musculus	house_mouse	rodentia	2	19
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	19
Abcb1b	mus_musculus	house_mouse	rodentia	2	19
ABCB1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
